fid,etiqueta,granularidad,cod_tipocat,cod_tipo,nom_tipo,cod_categor,nom_categor,gcd_isla,nom_isla,gcd_entitur,nom_entitur,gcd_nucltur,nom_nucltur,gcd_municipio,nom_municipio,direccion,prc_habita,prc_plazas,longitud,latitud,geohash,utm_x,utm_y
38,HOTEL LA LAGUNA GRAN HOTEL,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38023",La Laguna,"C/. NAVA Y GRIMÓN, Nş 18",123,246,-16.313326,28.489132,eth6hf2cpz,371452.07,3152090.79
39,HOTEL BOUTIQUE SAN DIEGO,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38023",La Laguna,"AVENIDA DE SAN DIEGO, 40",5,10,-16.322916,28.495344,eth6he6j2m,370520.89,3152789.37
40,HOTEL VALLE ARIDANE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38024",Los Llanos de Aridane,"CALLE GLORIETA CASTILLO OLIVARES, 3",44,87,-17.916106,28.658267,et57031fs2,214975.39,3173605.97
41,HOTEL EDEN,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38024",Los Llanos de Aridane,"CALLE ANGEL,1",18,32,-17.912326,28.658901,et5703hwhw,215346.75,3173667.23
42,PENSION EL PORVENIR,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38024",Los Llanos de Aridane,"CALLE FERNANDES TAŃO, 33",11,16,-17.910776,28.659399,et5703mc0e,215499.66,3173718.74
43,HOTEL BENAHOARE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38024",Los Llanos de Aridane,"CALLE LAS ADELFAS, 12",18,40,-17.910776,28.656676,et5702vc0x,215492.3,3173416.86
44,APARTAMENTOS ADJOVIMAR,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38024",Los Llanos de Aridane,"PEDRO M. HDEZ CAMACHO, 50",5,14,-17.911012,28.652357,et5702j854,215457.55,3172938.61
45,APARTAMENTOS EL PATIO,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38024",Los Llanos de Aridane,"CALLE CONVENTO, 41",6,12,-17.90892,28.657669,et5702zp5b,215676.48,3173522.53
46,BEA APARTAMENTOS LAS PALMERAS,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B15,Puerto Rico,"35012",Mogán,"CALLE LAS PALMERAS, 10",48,129,-15.708657,27.793034,esuy4e961v,430189.37,3074477.34
47,HOTEL JARDÍN DE LA PAZ,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38025",La Matanza de Acentejo,CALLE DE ACENTEJO 48 - 52,13,36,-16.462203,28.453388,eth3c7u8fz,356830.19,3148298.66
48,PARADOR TURISMO LAS CAŃADAS DEL TEIDE,ALOJAMIENTOS,H3,5510_L1,Hotel,"3",3 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38026",La Orotava,CALLE LAS CAŃADAS DEL TEIDE,37,74,-16.627134,28.2244,eth0tdh7p9,340336.77,3123133.08
49,PENSION SILENE,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38026",La Orotava,"CALLE TOMAS ZEROLO, 9",4,8,-16.524373,28.391036,eth1xbrmf0,350654.61,3141465.46
50,HOTEL EMBLEMATICO OROTAVA,ALOJAMIENTOS,H0,5510_L3,Hotel Emblemático,"0",Categoría única,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38026",La Orotava,"CARRERA, 17",6,14,-16.52541,28.389114,eth1xbndd4,350550.3,3141253.78
51,HOTEL RURAL VICTORIA,ALOJAMIENTOS,H0,5510_L4,Hotel Rural,"0",Categoría única,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38026",La Orotava,"HERMANO APOLINAR, 8",14,32,-16.525179,28.388282,eth1rzytxr,350571.77,3141161.3
52,APARTAMENTOS FINCA EL RINCON,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38026",La Orotava,CALLE CAMINO DEL ANCON 38,8,20,-16.510942,28.416664,eth38m1554,352006.27,3144288.53
53,HOTEL ALHAMBRA,ALOJAMIENTOS,H2,5510_L1,Hotel,"2",2 Estrellas,ES709,Tenerife,ES709B9,Entidad no turística de Tenerife,ES709B90,Núcleo no turístico de Tenerife,"38026",La Orotava,"CALLE NICANDRO GONZALEZ BORGES, 19",5,10,-16.523547,28.392572,eth1xbxytr,350737.7,3141634.63
54,APARTAMENTOS CASA DE LAS PALMERAS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"CALLE TAMARAHOYA, 20",9,20,-17.893438,28.64157,et56by43hx,217147.17,3171700.95
55,APARTAMENTOS HERMOSILLA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"CALLE RIQUIBAS, 7",5,12,-17.89419,28.656136,et570b9y54,217112.76,3173317.56
56,APARTAMENTOS BELLAVISTA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"SANTA ANA, 14",4,8,-17.896194,28.645664,et56byb3h6,216888.63,3172161.36
57,APARTAMENTOS EDEN BUGANVILLA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,"35012",Mogán,"CALLE ROQUE DE LOS MUCHACHOS, 1",154,402,-15.716039,27.791611,esuy477cve,429461.22,3074323.92
58,APARTAMENTOS LOS GUANCHES BUNGALOWS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"CALLE GÁMEZ, 14",10,20,-17.883514,28.641728,et56cn1d5v,218118.18,3171695
59,APARTAMENTOS ROSABEL,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"TABURIENTE, 65",3,11,-17.889867,28.642616,et56byhzrf,217499.23,3171808.46
60,APARTAMENTOS JARDIN DE ARIDANE,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"TAMARAHOYA, 19",2,8,-17.891603,28.640149,et56bvg8zq,217322.82,3171539.07
61,APARTAMENTOS ELIDA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"CALLE EL PILAR, 3",5,12,-17.869713,28.653509,et57125wv9,219499.32,3172968.54
62,APARTAMENTOS LUNA BAILADORA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"CALLE ECHEDEY, 24",4,16,-17.882066,28.63949,et56cjdtje,218253.81,3171443.47
63,APARTAMENTOS VISTA VALLE OBIJÓN,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,URBANIZACIÓN VISTA VALLE,2,7,-17.890953,28.641138,et56bvunwx,217389.05,3171647.18
64,APARTAMENTOS VISTA VALLE HEINZ,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"C/ VISTA VALLE, Nş 37",2,4,-17.890727,28.637563,et56bvk3gu,217401.56,3171250.31
65,APARTAMENTOS LA VILLA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,URBANIZACIÓN CELTA S/N,26,118,-17.896589,28.648772,et56bz255q,216858.36,3172506.86
66,APARTAMENTOS RINCÓN TAJUYA,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"CALLE TAJUYA, 41B",4,16,-17.888383,28.635261,et56buyh6r,217624.64,3170989.56
67,APARTAMENTOS LAS ALAS,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES707,La Palma,ES707B0,La Palma,ES707B00,La Palma,"38027",El Paso,"TAJUYA, 4",6,12,-17.889472,28.637339,et56bvm294,217523.7,3171222.51
68,APARTAMENTOS OCEAN HILL,ALOJAMIENTOS,A2,5510_L6,Apartamentos,"2",2 Estrellas,ES705,Gran Canaria,ES705B1,Mogán turístico,ES705B14,Amadores,"35012",Mogán,"AVENIDA DE LA CORNISA, 19",156,468,-15.71824,27.788926,esuy46f64r,429242.65,3074027.75
69,HOTEL PARQUE SAN ANTONIO,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,CTRA  GENERAL PUERTO DE LA CRUZ LAS ARENAS 51,250,495,-16.548983,28.407726,eth1x7mqux,348266.99,3143345.53
70,BLUE SEA COSTA JARDIN & SPA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,URBANIZACIÓN EL DURAZNO.,248,500,-16.539853,28.405812,eth1xeh5c7,349158.74,3143121.98
71,HOTEL SUN HOLIDAYS,ALOJAMIENTOS,H1,5510_L1,Hotel,"1",1 Estrella,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE LA PEŃITA, 6",26,50,-16.553755,28.416832,eth1xm1uj9,347812.5,3144360.54
72,HOTEL TAORO GARDEN,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE DINAMARCA, 3 (PARQUE TAORO)",182,404,-16.546429,28.410945,eth1xkp3b2,348521.79,3143698.99
73,SOL COSTA ATLANTIS TENERIFE,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B54,Martiánez,"38028",Puerto de la Cruz,"AVENIDA VENEZUELA, 15",290,606,-16.542362,28.417248,eth1xt4nrn,348929.17,3144392.28
74,APARTAMENTOS BAMBI,ALOJAMIENTOS,A1,5510_L6,Apartamentos,"1",1 Estrella,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B52,Conjunto Histórico,"38028",Puerto de la Cruz,"CALLE ENRIQUE TALG, 15",47,111,-16.545287,28.416493,eth1xt044f,348641.56,3144312.3
75,HOTEL PUERTO RESORT BY BLUESEA,ALOJAMIENTOS,H4,5510_L1,Hotel,"4",4 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"CALLE ACEVIŃO, 8",421,808,-16.53466,28.415173,eth1xszf6k,349680.73,3144152.72
76,HOTEL BOTANICO,ALOJAMIENTOS,H5,5510_L1,Hotel,"5",5 Estrellas,ES709,Tenerife,ES709B5,Puerto de la Cruz turístico,ES709B53,Taoro - La Paz,"38028",Puerto de la Cruz,"AVENIDA RICHARD J. YEOWARD, 1",252,520,-16.538029,28.411332,eth1xsjk5b,349345.25,3143731.33
